row_id,text,current_text,context_text,speech_act,domain,group_id,recommended_split,source,review_status,review_confidence,review_notes,canonical_group_id,gold_include,previous_text,next_text,lifecycle_state,context_dependency,canonical_worthiness,temporal_role,gold_section,evidence_type,action_state,signals
ctx_001_12,The team identified that late supplier files could delay reconciliation.,The team identified that late supplier files could delay reconciliation.,"[PREVIOUS]
We should review delivery exposure.
[CURRENT]
The team identified that late supplier files could delay reconciliation.
[NEXT]
The exposure remains open.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,RISK_001,True,We should review delivery exposure.,The exposure remains open.,active,standalone,canonical_item,none,risk,risk_dependency,not_action,risk_language
ctx_001_13,"Yes, we should monitor that.","Yes, we should monitor that.","[PREVIOUS]
The risk is that late supplier files could delay reconciliation.
[CURRENT]
Yes, we should monitor that.
[NEXT]
Add it to the register.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,RISK_001,True,The risk is that late supplier files could delay reconciliation.,Add it to the register.,active,accepts_previous,supporting_detail,none,risk,risk_dependency,not_action,risk_language
ctx_001_14,That exposure was closed last week.,That exposure was closed last week.,"[PREVIOUS]
We previously worried that late supplier files could delay reconciliation.
[CURRENT]
That exposure was closed last week.
[NEXT]
No monitoring is required.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,We previously worried that late supplier files could delay reconciliation.,No monitoring is required.,completed,modifies_previous,context_only,historical,,background_context,completed_history,
ctx_001_15,Can everyone see my screen?,Can everyone see my screen?,"[PREVIOUS]
The meeting is starting.
[CURRENT]
Can everyone see my screen?
[NEXT]
We will continue in a moment.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,The meeting is starting.,We will continue in a moment.,none,standalone,none,other,,background_context,not_action,
ctx_001_16,The inventory work remains in progress.,The inventory work remains in progress.,"[PREVIOUS]
We reviewed the background.
[CURRENT]
The inventory work remains in progress.
[NEXT]
No commitment was made.",contextual_curriculum,inventory,context_001_inventory,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,We reviewed the background.,No commitment was made.,none,standalone,supporting_detail,none,,background_context,not_action,
ctx_002_01,I'll patch the mobile login redirect.,I'll patch the mobile login redirect.,"[PREVIOUS]
We need someone to handle this.
[CURRENT]
I'll patch the mobile login redirect.
[NEXT]
Can it be done by today?",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_002,True,We need someone to handle this.,Can it be done by today?,active,needs_previous,canonical_item,none,action,action_commitment,confirmed_action,
ctx_002_02,Before today.,Before today.,"[PREVIOUS]
I'll patch the mobile login redirect.
[CURRENT]
Before today.
[NEXT]
Yes, that works.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_002,True,I'll patch the mobile login redirect.,"Yes, that works.",none,needs_previous,context_only,deadline_previous,action,action_commitment,not_action,deadline_or_sequence
ctx_002_03,"Yes, I'll take that.","Yes, I'll take that.","[PREVIOUS]
Could you patch the mobile login redirect?
[CURRENT]
Yes, I'll take that.
[NEXT]
Please finish by today.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_002,True,Could you patch the mobile login redirect?,Please finish by today.,active,accepts_previous,canonical_item,none,action,action_commitment,confirmed_action,
ctx_002_04,Elliot will patch the mobile login redirect by today.,Elliot will patch the mobile login redirect by today.,"[PREVIOUS]
The work is on the list.
[CURRENT]
Elliot will patch the mobile login redirect by today.
[NEXT]
Let's move on.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_002,True,The work is on the list.,Let's move on.,active,standalone,canonical_item,deadline_current,action,action_commitment,confirmed_action,deadline_or_sequence
ctx_002_05,I completed the work to patch the mobile login redirect yesterday.,I completed the work to patch the mobile login redirect yesterday.,"[PREVIOUS]
Here is the status.
[CURRENT]
I completed the work to patch the mobile login redirect yesterday.
[NEXT]
Nothing remains open.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,Here is the status.,Nothing remains open.,completed,standalone,context_only,historical,,background_context,completed_history,
ctx_002_06,I might patch the mobile login redirect if capacity allows.,I might patch the mobile login redirect if capacity allows.,"[PREVIOUS]
We may need help.
[CURRENT]
I might patch the mobile login redirect if capacity allows.
[NEXT]
No action was agreed.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,We may need help.,No action was agreed.,tentative,needs_next,context_only,other,,background_context,not_action,
ctx_002_07,"Actually, another owner will patch the mobile login redirect instead.","Actually, another owner will patch the mobile login redirect instead.","[PREVIOUS]
Elliot will patch the mobile login redirect.
[CURRENT]
Actually, another owner will patch the mobile login redirect instead.
[NEXT]
Use the new owner.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_002,True,Elliot will patch the mobile login redirect.,Use the new owner.,superseded,modifies_previous,canonical_item,none,action,action_commitment,not_action,
ctx_002_08,Do not proceed with that action.,Do not proceed with that action.,"[PREVIOUS]
Please patch the mobile login redirect.
[CURRENT]
Do not proceed with that action.
[NEXT]
It is no longer required.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,Please patch the mobile login redirect.,It is no longer required.,inactive,modifies_previous,context_only,none,,background_context,not_action,
ctx_002_09,We agreed to hold the release until smoke testing passes.,We agreed to hold the release until smoke testing passes.,"[PREVIOUS]
We should choose an approach.
[CURRENT]
We agreed to hold the release until smoke testing passes.
[NEXT]
That is the final position.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,DECISION_002,True,We should choose an approach.,That is the final position.,none,standalone,canonical_item,none,decision,decision_agreement,not_action,decision_language
ctx_002_10,Agreed.,Agreed.,"[PREVIOUS]
The proposal is to hold the release until smoke testing passes.
[CURRENT]
Agreed.
[NEXT]
Let's use that approach.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,DECISION_002,True,The proposal is to hold the release until smoke testing passes.,Let's use that approach.,none,accepts_previous,supporting_detail,none,decision,decision_agreement,not_action,decision_language
ctx_002_11,"Yes, that is the decision.","Yes, that is the decision.","[PREVIOUS]
We agreed to hold the release until smoke testing passes.
[CURRENT]
Yes, that is the decision.
[NEXT]
Next topic.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,DECISION_002,True,We agreed to hold the release until smoke testing passes.,Next topic.,none,needs_previous,duplicate_expression,none,decision,decision_agreement,not_action,decision_language
ctx_002_12,The team identified that the redirect defect could block customer access.,The team identified that the redirect defect could block customer access.,"[PREVIOUS]
We should review delivery exposure.
[CURRENT]
The team identified that the redirect defect could block customer access.
[NEXT]
The exposure remains open.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,RISK_002,True,We should review delivery exposure.,The exposure remains open.,active,standalone,canonical_item,none,risk,risk_dependency,not_action,risk_language
ctx_002_13,"Yes, we should monitor that.","Yes, we should monitor that.","[PREVIOUS]
The risk is that the redirect defect could block customer access.
[CURRENT]
Yes, we should monitor that.
[NEXT]
Add it to the register.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,RISK_002,True,The risk is that the redirect defect could block customer access.,Add it to the register.,active,accepts_previous,supporting_detail,none,risk,risk_dependency,not_action,risk_language
ctx_002_14,That exposure was closed last week.,That exposure was closed last week.,"[PREVIOUS]
We previously worried that the redirect defect could block customer access.
[CURRENT]
That exposure was closed last week.
[NEXT]
No monitoring is required.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,We previously worried that the redirect defect could block customer access.,No monitoring is required.,completed,modifies_previous,context_only,historical,,background_context,completed_history,
ctx_002_15,Can everyone see my screen?,Can everyone see my screen?,"[PREVIOUS]
The meeting is starting.
[CURRENT]
Can everyone see my screen?
[NEXT]
We will continue in a moment.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,The meeting is starting.,We will continue in a moment.,none,standalone,none,other,,background_context,not_action,
ctx_002_16,The mobile release work remains in progress.,The mobile release work remains in progress.,"[PREVIOUS]
We reviewed the background.
[CURRENT]
The mobile release work remains in progress.
[NEXT]
No commitment was made.",contextual_curriculum,mobile_release,context_002_mobile_release,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,We reviewed the background.,No commitment was made.,none,standalone,supporting_detail,none,,background_context,not_action,
ctx_003_01,I'll invite the shortlisted engineer to a technical interview.,I'll invite the shortlisted engineer to a technical interview.,"[PREVIOUS]
We need someone to handle this.
[CURRENT]
I'll invite the shortlisted engineer to a technical interview.
[NEXT]
Can it be done by tomorrow?",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_003,True,We need someone to handle this.,Can it be done by tomorrow?,active,needs_previous,canonical_item,none,action,action_commitment,confirmed_action,
ctx_003_02,Before tomorrow.,Before tomorrow.,"[PREVIOUS]
I'll invite the shortlisted engineer to a technical interview.
[CURRENT]
Before tomorrow.
[NEXT]
Yes, that works.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_003,True,I'll invite the shortlisted engineer to a technical interview.,"Yes, that works.",none,needs_previous,context_only,deadline_previous,action,action_commitment,not_action,deadline_or_sequence
ctx_003_03,"Yes, I'll take that.","Yes, I'll take that.","[PREVIOUS]
Could you invite the shortlisted engineer to a technical interview?
[CURRENT]
Yes, I'll take that.
[NEXT]
Please finish by tomorrow.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_003,True,Could you invite the shortlisted engineer to a technical interview?,Please finish by tomorrow.,active,accepts_previous,canonical_item,none,action,action_commitment,confirmed_action,
ctx_003_04,Sana will invite the shortlisted engineer to a technical interview by tomorrow.,Sana will invite the shortlisted engineer to a technical interview by tomorrow.,"[PREVIOUS]
The work is on the list.
[CURRENT]
Sana will invite the shortlisted engineer to a technical interview by tomorrow.
[NEXT]
Let's move on.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_003,True,The work is on the list.,Let's move on.,active,standalone,canonical_item,deadline_current,action,action_commitment,confirmed_action,deadline_or_sequence
ctx_003_05,I completed the work to invite the shortlisted engineer to a technical interview yesterday.,I completed the work to invite the shortlisted engineer to a technical interview yesterday.,"[PREVIOUS]
Here is the status.
[CURRENT]
I completed the work to invite the shortlisted engineer to a technical interview yesterday.
[NEXT]
Nothing remains open.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,Here is the status.,Nothing remains open.,completed,standalone,context_only,historical,,background_context,completed_history,
ctx_003_06,I might invite the shortlisted engineer to a technical interview if capacity allows.,I might invite the shortlisted engineer to a technical interview if capacity allows.,"[PREVIOUS]
We may need help.
[CURRENT]
I might invite the shortlisted engineer to a technical interview if capacity allows.
[NEXT]
No action was agreed.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,We may need help.,No action was agreed.,tentative,needs_next,context_only,other,,background_context,not_action,
ctx_003_07,"Actually, another owner will invite the shortlisted engineer to a technical interview instead.","Actually, another owner will invite the shortlisted engineer to a technical interview instead.","[PREVIOUS]
Sana will invite the shortlisted engineer to a technical interview.
[CURRENT]
Actually, another owner will invite the shortlisted engineer to a technical interview instead.
[NEXT]
Use the new owner.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_003,True,Sana will invite the shortlisted engineer to a technical interview.,Use the new owner.,superseded,modifies_previous,canonical_item,none,action,action_commitment,not_action,
ctx_003_08,Do not proceed with that action.,Do not proceed with that action.,"[PREVIOUS]
Please invite the shortlisted engineer to a technical interview.
[CURRENT]
Do not proceed with that action.
[NEXT]
It is no longer required.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,Please invite the shortlisted engineer to a technical interview.,It is no longer required.,inactive,modifies_previous,context_only,none,,background_context,not_action,
ctx_003_09,We agreed to progress one candidate to the final round.,We agreed to progress one candidate to the final round.,"[PREVIOUS]
We should choose an approach.
[CURRENT]
We agreed to progress one candidate to the final round.
[NEXT]
That is the final position.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,DECISION_003,True,We should choose an approach.,That is the final position.,none,standalone,canonical_item,none,decision,decision_agreement,not_action,decision_language
ctx_003_10,Agreed.,Agreed.,"[PREVIOUS]
The proposal is to progress one candidate to the final round.
[CURRENT]
Agreed.
[NEXT]
Let's use that approach.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,DECISION_003,True,The proposal is to progress one candidate to the final round.,Let's use that approach.,none,accepts_previous,supporting_detail,none,decision,decision_agreement,not_action,decision_language
ctx_003_11,"Yes, that is the decision.","Yes, that is the decision.","[PREVIOUS]
We agreed to progress one candidate to the final round.
[CURRENT]
Yes, that is the decision.
[NEXT]
Next topic.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,DECISION_003,True,We agreed to progress one candidate to the final round.,Next topic.,none,needs_previous,duplicate_expression,none,decision,decision_agreement,not_action,decision_language
ctx_003_12,The team identified that interviewer availability may delay the final round.,The team identified that interviewer availability may delay the final round.,"[PREVIOUS]
We should review delivery exposure.
[CURRENT]
The team identified that interviewer availability may delay the final round.
[NEXT]
The exposure remains open.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,RISK_003,True,We should review delivery exposure.,The exposure remains open.,active,standalone,canonical_item,none,risk,risk_dependency,not_action,risk_language
ctx_003_13,"Yes, we should monitor that.","Yes, we should monitor that.","[PREVIOUS]
The risk is that interviewer availability may delay the final round.
[CURRENT]
Yes, we should monitor that.
[NEXT]
Add it to the register.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,RISK_003,True,The risk is that interviewer availability may delay the final round.,Add it to the register.,active,accepts_previous,supporting_detail,none,risk,risk_dependency,not_action,risk_language
ctx_003_14,That exposure was closed last week.,That exposure was closed last week.,"[PREVIOUS]
We previously worried that interviewer availability may delay the final round.
[CURRENT]
That exposure was closed last week.
[NEXT]
No monitoring is required.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,We previously worried that interviewer availability may delay the final round.,No monitoring is required.,completed,modifies_previous,context_only,historical,,background_context,completed_history,
ctx_003_15,Can everyone see my screen?,Can everyone see my screen?,"[PREVIOUS]
The meeting is starting.
[CURRENT]
Can everyone see my screen?
[NEXT]
We will continue in a moment.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,The meeting is starting.,We will continue in a moment.,none,standalone,none,other,,background_context,not_action,
ctx_003_16,The recruitment work remains in progress.,The recruitment work remains in progress.,"[PREVIOUS]
We reviewed the background.
[CURRENT]
The recruitment work remains in progress.
[NEXT]
No commitment was made.",contextual_curriculum,recruitment,context_003_recruitment,validation,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,We reviewed the background.,No commitment was made.,none,standalone,supporting_detail,none,,background_context,not_action,
ctx_004_01,I'll circulate the revised department forecast.,I'll circulate the revised department forecast.,"[PREVIOUS]
We need someone to handle this.
[CURRENT]
I'll circulate the revised department forecast.
[NEXT]
Can it be done by before lunch?",contextual_curriculum,budget,context_004_budget,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_004,True,We need someone to handle this.,Can it be done by before lunch?,active,needs_previous,canonical_item,none,action,action_commitment,confirmed_action,
ctx_004_02,Before before lunch.,Before before lunch.,"[PREVIOUS]
I'll circulate the revised department forecast.
[CURRENT]
Before before lunch.
[NEXT]
Yes, that works.",contextual_curriculum,budget,context_004_budget,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_004,True,I'll circulate the revised department forecast.,"Yes, that works.",none,needs_previous,context_only,deadline_previous,action,action_commitment,not_action,deadline_or_sequence
ctx_004_03,"Yes, I'll take that.","Yes, I'll take that.","[PREVIOUS]
Could you circulate the revised department forecast?
[CURRENT]
Yes, I'll take that.
[NEXT]
Please finish by before lunch.",contextual_curriculum,budget,context_004_budget,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_004,True,Could you circulate the revised department forecast?,Please finish by before lunch.,active,accepts_previous,canonical_item,none,action,action_commitment,confirmed_action,
ctx_004_04,Theo will circulate the revised department forecast by before lunch.,Theo will circulate the revised department forecast by before lunch.,"[PREVIOUS]
The work is on the list.
[CURRENT]
Theo will circulate the revised department forecast by before lunch.
[NEXT]
Let's move on.",contextual_curriculum,budget,context_004_budget,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_004,True,The work is on the list.,Let's move on.,active,standalone,canonical_item,deadline_current,action,action_commitment,confirmed_action,deadline_or_sequence
ctx_004_05,I completed the work to circulate the revised department forecast yesterday.,I completed the work to circulate the revised department forecast yesterday.,"[PREVIOUS]
Here is the status.
[CURRENT]
I completed the work to circulate the revised department forecast yesterday.
[NEXT]
Nothing remains open.",contextual_curriculum,budget,context_004_budget,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,Here is the status.,Nothing remains open.,completed,standalone,context_only,historical,,background_context,completed_history,
ctx_004_06,I might circulate the revised department forecast if capacity allows.,I might circulate the revised department forecast if capacity allows.,"[PREVIOUS]
We may need help.
[CURRENT]
I might circulate the revised department forecast if capacity allows.
[NEXT]
No action was agreed.",contextual_curriculum,budget,context_004_budget,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,We may need help.,No action was agreed.,tentative,needs_next,context_only,other,,background_context,not_action,
ctx_004_07,"Actually, another owner will circulate the revised department forecast instead.","Actually, another owner will circulate the revised department forecast instead.","[PREVIOUS]
Theo will circulate the revised department forecast.
[CURRENT]
Actually, another owner will circulate the revised department forecast instead.
[NEXT]
Use the new owner.",contextual_curriculum,budget,context_004_budget,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,ACTION_004,True,Theo will circulate the revised department forecast.,Use the new owner.,superseded,modifies_previous,canonical_item,none,action,action_commitment,not_action,
ctx_004_08,Do not proceed with that action.,Do not proceed with that action.,"[PREVIOUS]
Please circulate the revised department forecast.
[CURRENT]
Do not proceed with that action.
[NEXT]
It is no longer required.",contextual_curriculum,budget,context_004_budget,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,,False,Please circulate the revised department forecast.,It is no longer required.,inactive,modifies_previous,context_only,none,,background_context,not_action,
ctx_004_09,We agreed to defer the contractor extension.,We agreed to defer the contractor extension.,"[PREVIOUS]
We should choose an approach.
[CURRENT]
We agreed to defer the contractor extension.
[NEXT]
That is the final position.",contextual_curriculum,budget,context_004_budget,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,DECISION_004,True,We should choose an approach.,That is the final position.,none,standalone,canonical_item,none,decision,decision_agreement,not_action,decision_language
ctx_004_10,Agreed.,Agreed.,"[PREVIOUS]
The proposal is to defer the contractor extension.
[CURRENT]
Agreed.
[NEXT]
Let's use that approach.",contextual_curriculum,budget,context_004_budget,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,DECISION_004,True,The proposal is to defer the contractor extension.,Let's use that approach.,none,accepts_previous,supporting_detail,none,decision,decision_agreement,not_action,decision_language
ctx_004_11,"Yes, that is the decision.","Yes, that is the decision.","[PREVIOUS]
We agreed to defer the contractor extension.
[CURRENT]
Yes, that is the decision.
[NEXT]
Next topic.",contextual_curriculum,budget,context_004_budget,train,ai_authored_canonical_error_curriculum_v1,human_approved,high,Human reviewed and approved for contextual-head training.,DECISION_004,True,We agreed to defer the contractor extension.,Next topic.,none,needs_previous,duplicate_expression,none,decision,decision_agreement,not_action,decision_language
