run_id,run_date,environment,commit_or_version,case_id,output_path,baseline_score,hard_fail,reviewer,notes
full-no-edit-2026-08-12T1311Z-29026286-02_scattered_actions,2026-08-12T13:11:56.294Z,live-direct-no-edit-engine-refreshed,29026286,2,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/02_scattered_actions/normalised_output.json,63.8,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-03_superseded_actions,2026-08-12T13:12:10.158Z,live-direct-no-edit-engine-refreshed,29026286,3,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/03_superseded_actions/normalised_output.json,90,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-04_completed_vs_outstanding,2026-08-12T13:12:22.226Z,live-direct-no-edit-engine-refreshed,29026286,4,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/04_completed_vs_outstanding/normalised_output.json,75,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-05_hypothetical_language,2026-08-12T13:12:35.040Z,live-direct-no-edit-engine-refreshed,29026286,5,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/05_hypothetical_language/normalised_output.json,90,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-06_ownership_chaos,2026-08-12T13:12:47.412Z,live-direct-no-edit-engine-refreshed,29026286,6,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/06_ownership_chaos/normalised_output.json,60,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-07_deadline_torture,2026-08-12T13:12:59.128Z,live-direct-no-edit-engine-refreshed,29026286,7,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/07_deadline_torture/normalised_output.json,75,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-08_attendee_provenance,2026-08-12T13:13:15.844Z,live-direct-no-edit-engine-refreshed,29026286,8,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/08_attendee_provenance/normalised_output.json,90,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-09_no_action_meeting,2026-08-12T13:13:32.208Z,live-direct-no-edit-engine-refreshed,29026286,9,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/09_no_action_meeting/normalised_output.json,82.5,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
full-no-edit-2026-08-12T1311Z-29026286-10_chaos_goblin,2026-08-12T13:13:45.081Z,live-direct-no-edit-engine-refreshed,29026286,10,scripts/meeting-minutes-core-golden/runs/full-no-edit-2026-08-12T1311Z-29026286/10_chaos_goblin/normalised_output.json,82.5,true,OpenClaw,refreshed no-human-edits pass; final readiness locked
01-explicit-action-recap-804c290,2026-08-12T14:20:42.901Z,live-no-edit,804c290,1,scripts/meeting-minutes-core-golden/runs/01-explicit-action-recap-804c290/normalised_output.json,41.9,false,OpenClaw,no-human-edits endpoint pass; final readiness ready
06-ownership-chaos-804c290,2026-08-12T14:21:10.306Z,live-no-edit,804c290,6,scripts/meeting-minutes-core-golden/runs/06-ownership-chaos-804c290/normalised_output.json,75.0,false,OpenClaw,no-human-edits endpoint pass; final readiness ready
02-scattered-actions-804c290,2026-08-12T14:21:42.303Z,live-no-edit,804c290,2,scripts/meeting-minutes-core-golden/runs/02-scattered-actions-804c290/normalised_output.json,75.0,false,OpenClaw,no-human-edits endpoint pass; final readiness ready
03-superseded-actions-804c290,2026-08-12T14:24:29.036Z,live-no-edit,804c290,3,scripts/meeting-minutes-core-golden/runs/03-superseded-actions-804c290/normalised_output.json,90.0,false,OpenClaw,no-human-edits endpoint pass; final readiness ready
04-completed-vs-outstanding-804c290,2026-08-12T14:25:01.682Z,live-no-edit,804c290,4,scripts/meeting-minutes-core-golden/runs/04-completed-vs-outstanding-804c290/normalised_output.json,75.0,true,OpenClaw,no-human-edits endpoint pass; final readiness locked
05-hypothetical-language-804c290,2026-08-12T14:25:28.022Z,live-no-edit,804c290,5,scripts/meeting-minutes-core-golden/runs/05-hypothetical-language-804c290/normalised_output.json,75.0,false,OpenClaw,no-human-edits endpoint pass; final readiness ready
07-deadline-torture-804c290,2026-08-12T14:25:54.382Z,live-no-edit,804c290,7,scripts/meeting-minutes-core-golden/runs/07-deadline-torture-804c290/normalised_output.json,60.0,true,OpenClaw,no-human-edits endpoint pass; final readiness locked
08-attendee-provenance-804c290,2026-08-12T14:26:25.088Z,live-no-edit,804c290,8,scripts/meeting-minutes-core-golden/runs/08-attendee-provenance-804c290/normalised_output.json,75.0,false,OpenClaw,no-human-edits endpoint pass; final readiness ready
09-no-action-meeting-804c290,2026-08-12T14:27:08.891Z,live-no-edit,804c290,9,scripts/meeting-minutes-core-golden/runs/09-no-action-meeting-804c290/normalised_output.json,30.0,false,OpenClaw,no-human-edits endpoint pass; final readiness ready
10-chaos-goblin-804c290,2026-08-12T14:27:38.772Z,live-no-edit,804c290,10,scripts/meeting-minutes-core-golden/runs/10-chaos-goblin-804c290/normalised_output.json,67.5,false,OpenClaw,no-human-edits endpoint pass; final readiness ready
canonical-no-edit-2026-08-12T1940Z-65b9937-01_explicit_action_recap,2026-08-12T19:42:12.243Z,live-canonical-no-edit-endpoint-semantic-v2,65b9937e,1,scripts/meeting-minutes-core-golden/runs/canonical-no-edit-2026-08-12T1940Z-65b9937/01_explicit_action_recap/normalised_output.json,85.6,true,OpenClaw,canonical-no-edit-pass semantic_v2; pipeline canonical_staged_v2; semantic lock passed; warnings 0
canonical-no-edit-2026-08-12T1940Z-65b9937-02_scattered_actions,2026-08-12T19:42:12.243Z,live-canonical-no-edit-endpoint-semantic-v2,65b9937e,2,scripts/meeting-minutes-core-golden/runs/canonical-no-edit-2026-08-12T1940Z-65b9937/02_scattered_actions/normalised_output.json,73.8,true,OpenClaw,canonical-no-edit-pass semantic_v2; pipeline canonical_staged_v2; semantic lock passed; warnings 1
canonical-no-edit-2026-08-12T1940Z-65b9937-03_superseded_actions,2026-08-12T19:42:12.243Z,live-canonical-no-edit-endpoint-semantic-v2,65b9937e,3,scripts/meeting-minutes-core-golden/runs/canonical-no-edit-2026-08-12T1940Z-65b9937/03_superseded_actions/normalised_output.json,100,true,OpenClaw,canonical-no-edit-pass semantic_v2; pipeline canonical_staged_v2; semantic lock passed; warnings 0
canonical-no-edit-2026-08-12T1940Z-65b9937-04_completed_vs_outstanding,2026-08-12T19:42:12.243Z,live-canonical-no-edit-endpoint-semantic-v2,65b9937e,4,scripts/meeting-minutes-core-golden/runs/canonical-no-edit-2026-08-12T1940Z-65b9937/04_completed_vs_outstanding/normalised_output.json,100,true,OpenClaw,canonical-no-edit-pass semantic_v2; pipeline canonical_staged_v2; semantic lock passed; warnings 0
canonical-no-edit-2026-08-12T1940Z-65b9937-05_hypothetical_language,2026-08-12T19:42:12.243Z,live-canonical-no-edit-endpoint-semantic-v2,65b9937e,5,scripts/meeting-minutes-core-golden/runs/canonical-no-edit-2026-08-12T1940Z-65b9937/05_hypothetical_language/normalised_output.json,100,true,OpenClaw,canonical-no-edit-pass semantic_v2; pipeline canonical_staged_v2; semantic lock passed; warnings 0
canonical-no-edit-2026-08-12T1940Z-65b9937-06_ownership_chaos,2026-08-12T19:42:12.243Z,live-canonical-no-edit-endpoint-semantic-v2,65b9937e,6,scripts/meeting-minutes-core-golden/runs/canonical-no-edit-2026-08-12T1940Z-65b9937/06_ownership_chaos/normalised_output.json,100,true,OpenClaw,canonical-no-edit-pass semantic_v2; pipeline canonical_staged_v2; semantic lock passed; warnings 1
canonical-no-edit-2026-08-12T1940Z-65b9937-07_deadline_torture,2026-08-12T19:42:12.243Z,live-canonical-no-edit-endpoint-semantic-v2,65b9937e,7,scripts/meeting-minutes-core-golden/runs/canonical-no-edit-2026-08-12T1940Z-65b9937/07_deadline_torture/normalised_output.json,85,true,OpenClaw,canonical-no-edit-pass semantic_v2; pipeline canonical_staged_v2; semantic lock passed; warnings 0
canonical-no-edit-2026-08-12T1940Z-65b9937-08_attendee_provenance,2026-08-12T19:42:12.243Z,live-canonical-no-edit-endpoint-semantic-v2,65b9937e,8,scripts/meeting-minutes-core-golden/runs/canonical-no-edit-2026-08-12T1940Z-65b9937/08_attendee_provenance/normalised_output.json,85,true,OpenClaw,canonical-no-edit-pass semantic_v2; pipeline canonical_staged_v2; semantic lock passed; warnings 1
canonical-no-edit-2026-08-12T1940Z-65b9937-09_no_action_meeting,2026-08-12T19:42:12.243Z,live-canonical-no-edit-endpoint-semantic-v2,65b9937e,9,scripts/meeting-minutes-core-golden/runs/canonical-no-edit-2026-08-12T1940Z-65b9937/09_no_action_meeting/normalised_output.json,88.8,false,OpenClaw,canonical-no-edit-pass semantic_v2; pipeline canonical_staged_v2; semantic lock passed; warnings 2
canonical-no-edit-2026-08-12T1940Z-65b9937-10_chaos_goblin,2026-08-12T19:42:12.243Z,live-canonical-no-edit-endpoint-semantic-v2,65b9937e,10,scripts/meeting-minutes-core-golden/runs/canonical-no-edit-2026-08-12T1940Z-65b9937/10_chaos_goblin/normalised_output.json,92.5,false,OpenClaw,canonical-no-edit-pass semantic_v2; pipeline canonical_staged_v2; semantic lock passed; warnings 1
