row_id,text,speech_act,evidence_type,action_state,signals,domain,group_id,recommended_split,source,review_status,review_confidence,review_notes,previous_text,current_text,next_text,context_text,lifecycle_state,context_dependency,canonical_worthiness,temporal_role,canonical_group_id,gold_include,gold_section
mmt_0019,It was agreed that UDI registration would be handled through Udimed rather than MedEnvoy.,legacy_reviewed,decision_agreement,not_action,decision_language|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,It was agreed that UDI registration would be handled through Udimed rather than MedEnvoy.,,"[PREVIOUS]

[CURRENT]
It was agreed that UDI registration would be handled through Udimed rather than MedEnvoy.
[NEXT]
",,,,,,,
mmt_0020,The proposed approach was approved for the software change request.,legacy_reviewed,decision_agreement,not_action,decision_language|document_or_record,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,The proposed approach was approved for the software change request.,,"[PREVIOUS]

[CURRENT]
The proposed approach was approved for the software change request.
[NEXT]
",,,,,,,
mmt_0021,The team decided not to expand the label wording until Jenny has reviewed the draft.,legacy_reviewed,decision_agreement,not_action,decision_language|document_or_record|deadline_or_sequence,evidence,source:t819_seed,train,t819_seed,human_approved,,,,The team decided not to expand the label wording until Jenny has reviewed the draft.,,"[PREVIOUS]

[CURRENT]
The team decided not to expand the label wording until Jenny has reviewed the draft.
[NEXT]
",,,,,,,
mmt_0022,"The goods arrive from the manufacturer, are stored in the warehouse and are then picked for customer orders.",legacy_reviewed,process_overview,not_action,process_sequence,evidence,source:t819_seed,train,t819_seed,human_approved,,,,"The goods arrive from the manufacturer, are stored in the warehouse and are then picked for customer orders.",,"[PREVIOUS]

[CURRENT]
The goods arrive from the manufacturer, are stored in the warehouse and are then picked for customer orders.
[NEXT]
",,,,,,,
mmt_0023,"Packaging is applied after goods receipt, then the order is picked, packed and distributed to the customer.",legacy_reviewed,process_overview,not_action,process_sequence,evidence,source:t819_seed,train,t819_seed,human_approved,,,,"Packaging is applied after goods receipt, then the order is picked, packed and distributed to the customer.",,"[PREVIOUS]

[CURRENT]
Packaging is applied after goods receipt, then the order is picked, packed and distributed to the customer.
[NEXT]
",,,,,,,
mmt_0024,"The software build starts with the graphics driver, moves through alarm validation and then into retrospective testing.",legacy_reviewed,process_overview,not_action,process_sequence,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,"The software build starts with the graphics driver, moves through alarm validation and then into retrospective testing.",,"[PREVIOUS]

[CURRENT]
The software build starts with the graphics driver, moves through alarm validation and then into retrospective testing.
[NEXT]
",,,,,,,
mmt_0025,"The QMS manual describes how the business process links to goods receipt, order picking and distribution.",legacy_reviewed,process_overview,not_action,process_sequence|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,,,"The QMS manual describes how the business process links to goods receipt, order picking and distribution.",,"[PREVIOUS]

[CURRENT]
The QMS manual describes how the business process links to goods receipt, order picking and distribution.
[NEXT]
",,,,,,,
mmt_0026,The importer obligations sit with Dita once the product is placed on the Irish market.,legacy_reviewed,regulatory_obligation,not_action,regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,The importer obligations sit with Dita once the product is placed on the Irish market.,,"[PREVIOUS]

[CURRENT]
The importer obligations sit with Dita once the product is placed on the Irish market.
[NEXT]
",,,,,,,
mmt_0027,The declarations of conformity need to cover both MDR and PPE where sunglasses are in scope.,legacy_reviewed,regulatory_obligation,possible_action,deliverable_object|document_or_record|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,The declarations of conformity need to cover both MDR and PPE where sunglasses are in scope.,,"[PREVIOUS]

[CURRENT]
The declarations of conformity need to cover both MDR and PPE where sunglasses are in scope.
[NEXT]
",,,,,,,
mmt_0028,The audit plan depends on completing the risk assessment first.,legacy_reviewed,risk_dependency,possible_action,deliverable_object|deadline_or_sequence|risk_language|document_or_record,evidence,source:abbott_seed,test,abbott_seed,human_approved,,,,The audit plan depends on completing the risk assessment first.,,"[PREVIOUS]

[CURRENT]
The audit plan depends on completing the risk assessment first.
[NEXT]
",,,,,,,
mmt_0029,Domain access remains blocked until IT provides firewall access.,legacy_reviewed,risk_dependency,possible_action,deadline_or_sequence|risk_language,evidence,source:generic_seed,train,generic_seed,human_approved,,,,Domain access remains blocked until IT provides firewall access.,,"[PREVIOUS]

[CURRENT]
Domain access remains blocked until IT provides firewall access.
[NEXT]
",,,,,,,
mmt_0030,We are missing confirmation on which languages are required for the DoCs.,legacy_reviewed,risk_dependency,possible_action,deliverable_object|document_or_record|regulatory_language|risk_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,We are missing confirmation on which languages are required for the DoCs.,,"[PREVIOUS]

[CURRENT]
We are missing confirmation on which languages are required for the DoCs.
[NEXT]
",,,,,,,
mmt_0031,The HPRA fee has already been paid and the confirmation email was sent yesterday.,legacy_reviewed,background_context,completed_history,deliverable_object|regulatory_language|completed_tense,evidence,source:t819_seed,train,t819_seed,human_approved,,,,The HPRA fee has already been paid and the confirmation email was sent yesterday.,,"[PREVIOUS]

[CURRENT]
The HPRA fee has already been paid and the confirmation email was sent yesterday.
[NEXT]
",,,,,,,
mmt_0032,Claire sent the revised minutes yesterday.,legacy_reviewed,background_context,completed_history,named_owner|deliverable_object|document_or_record|completed_tense,evidence,source:generic_seed,train,generic_seed,human_approved,,,,Claire sent the revised minutes yesterday.,,"[PREVIOUS]

[CURRENT]
Claire sent the revised minutes yesterday.
[NEXT]
",,,,,,,
mmt_0033,John-Paul reviewed the DoCs last week.,legacy_reviewed,background_context,completed_history,named_owner|deliverable_object|document_or_record|regulatory_language|completed_tense,evidence,source:t819_seed,train,t819_seed,human_approved,,,,John-Paul reviewed the DoCs last week.,,"[PREVIOUS]

[CURRENT]
John-Paul reviewed the DoCs last week.
[NEXT]
",,,,,,,
mmt_0034,Rebecca has already updated the risk management file.,legacy_reviewed,background_context,completed_history,named_owner|deliverable_object|document_or_record|risk_language|completed_tense,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,Rebecca has already updated the risk management file.,,"[PREVIOUS]

[CURRENT]
Rebecca has already updated the risk management file.
[NEXT]
",,,,,,,
mmt_0035,Maybe we could look at the label in a later session.,legacy_reviewed,discussion_topic,not_action,hypothetical_language|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Maybe we could look at the label in a later session.,,"[PREVIOUS]

[CURRENT]
Maybe we could look at the label in a later session.
[NEXT]
",,,,,,,
mmt_0036,Should we think about whether the DoCs need more languages?,legacy_reviewed,discussion_topic,not_action,hypothetical_language|document_or_record|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Should we think about whether the DoCs need more languages?,,"[PREVIOUS]

[CURRENT]
Should we think about whether the DoCs need more languages?
[NEXT]
",,,,,,,
mmt_0037,It might be worth considering a different audit structure.,legacy_reviewed,discussion_topic,not_action,hypothetical_language|document_or_record,evidence,source:generic_seed,train,generic_seed,human_approved,,,,It might be worth considering a different audit structure.,,"[PREVIOUS]

[CURRENT]
It might be worth considering a different audit structure.
[NEXT]
",,,,,,,
mmt_0038,"If asked, we could explain that MedEnvoy is acting for the manufacturer.",legacy_reviewed,discussion_topic,not_action,hypothetical_language|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,"If asked, we could explain that MedEnvoy is acting for the manufacturer.",,"[PREVIOUS]

[CURRENT]
If asked, we could explain that MedEnvoy is acting for the manufacturer.
[NEXT]
",,,,,,,
mmt_0039,"The call covered QMS structure, UDI registration and HPRA fees.",legacy_reviewed,discussion_topic,not_action,document_or_record|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,"The call covered QMS structure, UDI registration and HPRA fees.",,"[PREVIOUS]

[CURRENT]
The call covered QMS structure, UDI registration and HPRA fees.
[NEXT]
",,,,,,,
mmt_0040,"The team discussed alarm changes, language changes and software versioning.",legacy_reviewed,discussion_topic,not_action,document_or_record,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,"The team discussed alarm changes, language changes and software versioning.",,"[PREVIOUS]

[CURRENT]
The team discussed alarm changes, language changes and software versioning.
[NEXT]
",,,,,,,
mmt_0041,There was a deep dive into the software debug review and change request evidence.,legacy_reviewed,discussion_topic,not_action,document_or_record,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,There was a deep dive into the software debug review and change request evidence.,,"[PREVIOUS]

[CURRENT]
There was a deep dive into the software debug review and change request evidence.
[NEXT]
",,,,,,,
mmt_0042,"We talked through final storage, packaging, customer orders and distribution.",legacy_reviewed,process_overview,not_action,process_sequence,evidence,source:t819_seed,train,t819_seed,human_approved,,,,"We talked through final storage, packaging, customer orders and distribution.",,"[PREVIOUS]

[CURRENT]
We talked through final storage, packaging, customer orders and distribution.
[NEXT]
",,,,,,,
mmt_0043,"I just turned on the transcript, so we missed the middle bit.",legacy_reviewed,low_value_noise,not_action,,evidence,source:generic_seed,train,generic_seed,human_approved,,,,"I just turned on the transcript, so we missed the middle bit.",,"[PREVIOUS]

[CURRENT]
I just turned on the transcript, so we missed the middle bit.
[NEXT]
",,,,,,,
mmt_0044,Can everyone hear me now?,legacy_reviewed,low_value_noise,not_action,,evidence,source:generic_seed,train,generic_seed,human_approved,,,,Can everyone hear me now?,,"[PREVIOUS]

[CURRENT]
Can everyone hear me now?
[NEXT]
",,,,,,,
mmt_0045,"Sorry, Teams is being slow and I lost the screen share.",legacy_reviewed,low_value_noise,not_action,,evidence,source:generic_seed,train,generic_seed,human_approved,,,,"Sorry, Teams is being slow and I lost the screen share.",,"[PREVIOUS]

[CURRENT]
Sorry, Teams is being slow and I lost the screen share.
[NEXT]
",,,,,,,
mmt_0046,"That is grand, thanks, we can move on.",legacy_reviewed,low_value_noise,not_action,,evidence,source:generic_seed,train,generic_seed,human_approved,,,,"That is grand, thanks, we can move on.",,"[PREVIOUS]

[CURRENT]
That is grand, thanks, we can move on.
[NEXT]
",,,,,,,
mmt_0047,Review status of TF24 and agree the next review activities.,legacy_reviewed,discussion_topic,not_action,document_or_record,evidence,source:generic_seed,train,generic_seed,human_approved,,,,Review status of TF24 and agree the next review activities.,,"[PREVIOUS]

[CURRENT]
Review status of TF24 and agree the next review activities.
[NEXT]
",,,,,,,
mmt_0048,Plan approach and initial activities for importer obligations.,legacy_reviewed,discussion_topic,not_action,regulatory_language,evidence,source:generic_seed,train,generic_seed,human_approved,,,,Plan approach and initial activities for importer obligations.,,"[PREVIOUS]

[CURRENT]
Plan approach and initial activities for importer obligations.
[NEXT]
",,,,,,,
mmt_0049,The objective was to review the software change request and supporting evidence.,legacy_reviewed,discussion_topic,not_action,document_or_record,evidence,source:generic_seed,train,generic_seed,human_approved,,,,The objective was to review the software change request and supporting evidence.,,"[PREVIOUS]

[CURRENT]
The objective was to review the software change request and supporting evidence.
[NEXT]
",,,,,,,
mmt_0050,The team needs to review the QMS manual.,legacy_reviewed,document_control_task,possible_action,explicit_commitment_verb|deliverable_object|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,,,The team needs to review the QMS manual.,,"[PREVIOUS]

[CURRENT]
The team needs to review the QMS manual.
[NEXT]
",,,,,,,
mmt_0051,Someone should send Jenny the label when it is ready.,legacy_reviewed,document_control_task,possible_action,explicit_commitment_verb|deliverable_object|recipient_or_handover|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Someone should send Jenny the label when it is ready.,,"[PREVIOUS]

[CURRENT]
Someone should send Jenny the label when it is ready.
[NEXT]
",,,,,,,
mmt_0052,The declarations need to be reviewed for MDR and PPE.,legacy_reviewed,document_control_task,possible_action,explicit_commitment_verb|deliverable_object|document_or_record|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,The declarations need to be reviewed for MDR and PPE.,,"[PREVIOUS]

[CURRENT]
The declarations need to be reviewed for MDR and PPE.
[NEXT]
",,,,,,,
mmt_0053,We need confirmation from HPRA on the fee.,legacy_reviewed,regulatory_obligation,possible_action,deliverable_object|regulatory_language|risk_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,We need confirmation from HPRA on the fee.,,"[PREVIOUS]

[CURRENT]
We need confirmation from HPRA on the fee.
[NEXT]
",,,,,,,
mmt_0054,The audit needs a risk assessment before the plan can be finalised.,legacy_reviewed,risk_dependency,possible_action,deliverable_object|deadline_or_sequence|document_or_record|risk_language,evidence,source:abbott_seed,test,abbott_seed,human_approved,,,,The audit needs a risk assessment before the plan can be finalised.,,"[PREVIOUS]

[CURRENT]
The audit needs a risk assessment before the plan can be finalised.
[NEXT]
",,,,,,,
mmt_0055,Colm to review the standards list and send comments back to Rebecca.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|document_or_record,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,Colm to review the standards list and send comments back to Rebecca.,,"[PREVIOUS]

[CURRENT]
Colm to review the standards list and send comments back to Rebecca.
[NEXT]
",,,,,,,
mmt_0056,Andrew to trace the graphics driver issue through the test evidence.,legacy_reviewed,action_commitment,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|document_or_record,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,Andrew to trace the graphics driver issue through the test evidence.,,"[PREVIOUS]

[CURRENT]
Andrew to trace the graphics driver issue through the test evidence.
[NEXT]
",,,,,,,
mmt_0057,Rebecca to share the standards applicable to the change request.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|document_or_record,evidence,source:t761_seed,validation,t761_seed,human_approved,,,,Rebecca to share the standards applicable to the change request.,,"[PREVIOUS]

[CURRENT]
Rebecca to share the standards applicable to the change request.
[NEXT]
",,,,,,,
mmt_0058,Niamh will review the audit timeline once Stuart sends the risk analysis.,legacy_reviewed,document_control_task,confirmed_action,named_owner|explicit_commitment_verb|deliverable_object|recipient_or_handover|deadline_or_sequence|document_or_record|risk_language,evidence,source:abbott_seed,test,abbott_seed,human_approved,,,,Niamh will review the audit timeline once Stuart sends the risk analysis.,,"[PREVIOUS]

[CURRENT]
Niamh will review the audit timeline once Stuart sends the risk analysis.
[NEXT]
",,,,,,,
mmt_0059,The audit timeline was reviewed in detail during the call.,legacy_reviewed,discussion_topic,completed_history,document_or_record|completed_tense,evidence,source:abbott_seed,test,abbott_seed,human_approved,,,,The audit timeline was reviewed in detail during the call.,,"[PREVIOUS]

[CURRENT]
The audit timeline was reviewed in detail during the call.
[NEXT]
",,,,,,,
mmt_0060,The risk assessment was completed before the meeting.,legacy_reviewed,background_context,completed_history,deliverable_object|document_or_record|risk_language|completed_tense,evidence,source:abbott_seed,test,abbott_seed,human_approved,,,,The risk assessment was completed before the meeting.,,"[PREVIOUS]

[CURRENT]
The risk assessment was completed before the meeting.
[NEXT]
",,,,,,,
mmt_0061,Share the risk analysis with Niamh before she arrives.,legacy_reviewed,action_commitment,confirmed_action,explicit_commitment_verb|deliverable_object|recipient_or_handover|deadline_or_sequence|risk_language,evidence,source:abbott_seed,test,abbott_seed,human_approved,,,,Share the risk analysis with Niamh before she arrives.,,"[PREVIOUS]

[CURRENT]
Share the risk analysis with Niamh before she arrives.
[NEXT]
",,,,,,,
mmt_0062,Complete the risk assessment to develop the audit plan.,legacy_reviewed,document_control_task,confirmed_action,explicit_commitment_verb|deliverable_object|document_or_record|risk_language,evidence,source:abbott_seed,test,abbott_seed,human_approved,,,,Complete the risk assessment to develop the audit plan.,,"[PREVIOUS]

[CURRENT]
Complete the risk assessment to develop the audit plan.
[NEXT]
",,,,,,,
mmt_0063,Review the QMS Manual by 24 March.,legacy_reviewed,document_control_task,confirmed_action,explicit_commitment_verb|deliverable_object|deadline_or_sequence|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Review the QMS Manual by 24 March.,,"[PREVIOUS]

[CURRENT]
Review the QMS Manual by 24 March.
[NEXT]
",,,,,,,
mmt_0064,Share copy of new label with Jenny by 24 March.,legacy_reviewed,document_control_task,confirmed_action,explicit_commitment_verb|deliverable_object|recipient_or_handover|deadline_or_sequence|document_or_record,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Share copy of new label with Jenny by 24 March.,,"[PREVIOUS]

[CURRENT]
Share copy of new label with Jenny by 24 March.
[NEXT]
",,,,,,,
mmt_0065,Share list of languages for DoCs by 24 March.,legacy_reviewed,document_control_task,confirmed_action,explicit_commitment_verb|deliverable_object|deadline_or_sequence|document_or_record|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Share list of languages for DoCs by 24 March.,,"[PREVIOUS]

[CURRENT]
Share list of languages for DoCs by 24 March.
[NEXT]
",,,,,,,
mmt_0066,Review DoCs for sunglasses for MDR and PPE.,legacy_reviewed,document_control_task,confirmed_action,explicit_commitment_verb|deliverable_object|document_or_record|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Review DoCs for sunglasses for MDR and PPE.,,"[PREVIOUS]

[CURRENT]
Review DoCs for sunglasses for MDR and PPE.
[NEXT]
",,,,,,,
mmt_0067,Review HPRA invoice fee.,legacy_reviewed,regulatory_obligation,confirmed_action,explicit_commitment_verb|deliverable_object|regulatory_language,evidence,source:t819_seed,train,t819_seed,human_approved,,,,Review HPRA invoice fee.,,"[PREVIOUS]

[CURRENT]
Review HPRA invoice fee.
[NEXT]
",,,,,,,
mmt_0068,The supplier audit topic could be November's webinar.,legacy_reviewed,discussion_topic,not_action,hypothetical_language,evidence,source:generic_seed,train,generic_seed,human_approved,,,,The supplier audit topic could be November's webinar.,,"[PREVIOUS]

[CURRENT]
The supplier audit topic could be November's webinar.
[NEXT]
",,,,,,,
mmt_0069,"Approved supplier is only the title of the content session, not something anyone needs to action today.",legacy_reviewed,discussion_topic,not_action,hypothetical_language,evidence,source:generic_seed,train,generic_seed,human_approved,,,,"Approved supplier is only the title of the content session, not something anyone needs to action today.",,"[PREVIOUS]

[CURRENT]
Approved supplier is only the title of the content session, not something anyone needs to action today.
[NEXT]
",,,,,,,
mmt_0070,Validation is one of the themes for the webinar series.,legacy_reviewed,discussion_topic,not_action,,evidence,source:generic_seed,train,generic_seed,human_approved,,,,Validation is one of the themes for the webinar series.,,"[PREVIOUS]

[CURRENT]
Validation is one of the themes for the webinar series.
[NEXT]
",,,,,,,
mmt_0071,Review Rebecca’s updates to the Risk Mgmt Plan,legacy_reviewed,document_control_task,confirmed_action,deliverable_object|document_or_record|explicit_commitment_verb|named_owner|risk_language,evidence,source:t733_eakin_consultancy_retainer_trinzo_minutes_client_checkin_tf24_2026_06_17_pdf,test,T733 Eakin Consultancy Retainer -Trinzo Minutes Client -Checkin TF24 _2026.06.17.pdf,human_approved,,,,Review Rebecca’s updates to the Risk Mgmt Plan,,"[PREVIOUS]

[CURRENT]
Review Rebecca’s updates to the Risk Mgmt Plan
[NEXT]
",,,,,,,
mmt_0072,Clinical and usability review of the Alarm changes,legacy_reviewed,action_commitment,confirmed_action,deliverable_object|document_or_record|explicit_commitment_verb|named_owner,evidence,source:t733_eakin_consultancy_retainer_trinzo_minutes_client_checkin_tf24_2026_06_17_pdf,test,T733 Eakin Consultancy Retainer -Trinzo Minutes Client -Checkin TF24 _2026.06.17.pdf,human_approved,,,,Clinical and usability review of the Alarm changes,,"[PREVIOUS]

[CURRENT]
Clinical and usability review of the Alarm changes
[NEXT]
",,,,,,,
mmt_0073,Subcontractor spreadsheet to be completed – justifications,legacy_reviewed,document_control_task,confirmed_action,completed_tense|deliverable_object|document_or_record|explicit_commitment_verb|named_owner,evidence,source:t733_eakin_consultancy_retainer_trinzo_minutes_client_checkin_tf24_2026_06_17_pdf,test,T733 Eakin Consultancy Retainer -Trinzo Minutes Client -Checkin TF24 _2026.06.17.pdf,human_approved,,,,Subcontractor spreadsheet to be completed – justifications,,"[PREVIOUS]

[CURRENT]
Subcontractor spreadsheet to be completed – justifications
[NEXT]
",,,,,,,
mmt_0074,Andrew to review the mute button flash sequence V the existing setup,legacy_reviewed,action_commitment,confirmed_action,deliverable_object|document_or_record|explicit_commitment_verb|named_owner|process_sequence,evidence,source:t761_eakin_tech_file_sw_trinzo_minutes_sw_weekly_checkin_2026_06_15_pdf,validation,T761 Eakin Tech File SW -Trinzo Minutes SW Weekly Checkin_2026.06.15.pdf,human_approved,,,,Andrew to review the mute button flash sequence V the existing setup,,"[PREVIOUS]

[CURRENT]
Andrew to review the mute button flash sequence V the existing setup
[NEXT]
",,,,,,,
